Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.5018680004675148, Recall: 0.5084844254746421,                 F1 Score: 0.27981593857628184, Accuracy: 0.3276809207814204,                 True Negatives: 248543, True Positives: 29664, False Positives: 558639, False Negatives: 12172
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.5019955401957501, Recall: 0.508749394543254,                 F1 Score: 0.2693447073856428, Accuracy: 0.31127019686272844,                 True Negatives: 233825, True Positives: 30449, False Positives: 573357, False Negatives: 11387
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.5014412367958823, Recall: 0.5064284106744541,                 F1 Score: 0.27387105418814844, Accuracy: 0.3185786402643996,                 True Negatives: 240574, True Positives: 29905, False Positives: 566608, False Negatives: 11931
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.501863025506992, Recall: 0.5081939142460048,                 F1 Score: 0.2701253299288383, Accuracy: 0.3125410768676283,                 True Negatives: 235012, True Positives: 30341, False Positives: 572170, False Negatives: 11495
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 750, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.5016364545698292, Recall: 0.5072835530950806,                 F1 Score: 0.2734075158011606, Accuracy: 0.3177482691768608,                 True Negatives: 239755, True Positives: 30019, False Positives: 567427, False Negatives: 11817
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 750, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.5018716440527905, Recall: 0.5082127476135152,                 F1 Score: 0.2694659863848498, Accuracy: 0.31152107493598485,                 True Negatives: 234097, True Positives: 30390, False Positives: 573085, False Negatives: 11446
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 200, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.5010494363544808, Recall: 0.5047315491631001,                 F1 Score: 0.27678283863530173, Accuracy: 0.3233677024515381,                 True Negatives: 245012, True Positives: 29533, False Positives: 562170, False Negatives: 12303
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 200, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.5017332920978503, Recall: 0.5077005376968963,                 F1 Score: 0.27295408906364116, Accuracy: 0.31698974580044237,                 True Negatives: 239039, True Positives: 30091, False Positives: 568143, False Negatives: 11745
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 500, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.5010883725839519, Recall: 0.5049001778497398,                 F1 Score: 0.2763851343483874, Accuracy: 0.32271871738879504,                 True Negatives: 244416, True Positives: 29578, False Positives: 562766, False Negatives: 12258
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 500, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.5017132586602219, Recall: 0.5076287610112825,                 F1 Score: 0.2736070403017754, Accuracy: 0.3180168147200648,                 True Negatives: 239965, True Positives: 30037, False Positives: 567217, False Negatives: 11799
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 750, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.5008674155920214, Recall: 0.5039171791120538,                 F1 Score: 0.2771137383137125, Accuracy: 0.32399548655034405,                 True Negatives: 245646, True Positives: 29432, False Positives: 561536, False Negatives: 12404
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 750, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.5015191123092416, Recall: 0.5067932993559119,                 F1 Score: 0.27471530419831086, Accuracy: 0.31985423159461873,                 True Negatives: 241684, True Positives: 29878, False Positives: 565498, False Negatives: 11958
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 200, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.500082021446733, Recall: 0.5003745883888344,                 F1 Score: 0.27991664702712243, Accuracy: 0.3289164658464249,                 True Negatives: 250365, True Positives: 28891, False Positives: 556817, False Negatives: 12945
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 200, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.5010211229089072, Recall: 0.5046121845911293,                 F1 Score: 0.27731144465155405, Accuracy: 0.3242180966716842,                 True Negatives: 245784, True Positives: 29483, False Positives: 561398, False Negatives: 12353
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 500, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.5001386682272654, Recall: 0.5006325252051335,                 F1 Score: 0.2795842088022047, Accuracy: 0.32835110680810065,                 True Negatives: 249836, True Positives: 28940, False Positives: 557346, False Negatives: 12896
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 500, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.5007806448602523, Recall: 0.5035334995573463,                 F1 Score: 0.27775138469598215, Accuracy: 0.3250543569158722,                 True Negatives: 246628, True Positives: 29349, False Positives: 560554, False Negatives: 12487
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 750, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.4997902827609132, Recall: 0.49904033200324427,                 F1 Score: 0.2802795452890338, Accuracy: 0.3296761670541732,                 True Negatives: 251163, True Positives: 28738, False Positives: 556019, False Negatives: 13098
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 750, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.5004286683891603, Recall: 0.5019495445267798,                 F1 Score: 0.2789127515313869, Accuracy: 0.3271061390924574,                 True Negatives: 248605, True Positives: 29114, False Positives: 558577, False Negatives: 12722
Params: {'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.5015385935776989, Recall: 0.5068706526803295,                 F1 Score: 0.2743062592204282, Accuracy: 0.3192040687005458,                 True Negatives: 241095, True Positives: 29915, False Positives: 566087, False Negatives: 11921
Params: {'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.5020075760754321, Recall: 0.5087982196196585,                 F1 Score: 0.269226926071641, Accuracy: 0.31108292168128354,                 True Negatives: 233653, True Positives: 30462, False Positives: 573529, False Negatives: 11374
Params: {'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.5013169217969016, Recall: 0.5059075882816655,                 F1 Score: 0.2754795922948835, Accuracy: 0.32116515786473315,                 True Negatives: 242936, True Positives: 29739, False Positives: 564246, False Negatives: 12097
Params: {'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.5018595848397265, Recall: 0.5081946834069301,                 F1 Score: 0.27068375122133276, Accuracy: 0.31340442723240264,                 True Negatives: 235785, True Positives: 30301, False Positives: 571397, False Negatives: 11535
Params: {'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 750, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.5010132790814694, Recall: 0.5045772050036346,                 F1 Score: 0.2773346566998171, Accuracy: 0.3242593207682287,                 True Negatives: 245824, True Positives: 29478, False Positives: 561358, False Negatives: 12358
Params: {'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 750, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.501809887491717, Recall: 0.5080381285686875,                 F1 Score: 0.27292258677804915, Accuracy: 0.31689905278804453,                 True Negatives: 238928, True Positives: 30125, False Positives: 568254, False Negatives: 11711
Params: {'gamma': 0, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 200, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.49962671948923876, Recall: 0.49829678570031366,                 F1 Score: 0.2792118009173968, Accuracy: 0.32806842728893854,                 True Negatives: 249789, True Positives: 28747, False Positives: 557393, False Negatives: 13089
Params: {'gamma': 0, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 200, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.5003123610323468, Recall: 0.5014187959188791,                 F1 Score: 0.27841033322766795, Accuracy: 0.3263770614992851,                 True Negatives: 247999, True Positives: 29101, False Positives: 559183, False Negatives: 12735
Params: {'gamma': 0, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 500, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.4985744377404896, Recall: 0.4934508596069417,                 F1 Score: 0.28042103254882234, Accuracy: 0.33066201187725114,                 True Negatives: 252539, True Positives: 28199, False Positives: 554643, False Negatives: 13637
Params: {'gamma': 0, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 500, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.49889372636674106, Recall: 0.4949291883267692,                 F1 Score: 0.27998929827534785, Accuracy: 0.329766860066571,                 True Negatives: 251607, True Positives: 28371, False Positives: 555575, False Negatives: 13465
Params: {'gamma': 0, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 750, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.4982871136348373, Recall: 0.4921178778418839,                 F1 Score: 0.28068713726441796, Accuracy: 0.33127330633743923,                 True Negatives: 253204, True Positives: 28053, False Positives: 553978, False Negatives: 13783
Params: {'gamma': 0, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 750, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.4984927399205547, Recall: 0.49307577396122504,                 F1 Score: 0.2803342510532399, Accuracy: 0.33057367452751296,                 True Negatives: 252493, True Positives: 28170, False Positives: 554689, False Negatives: 13666
Params: {'gamma': 0, 'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 200, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.4986248421319268, Recall: 0.4936815444836854,                 F1 Score: 0.2805123799184313, Accuracy: 0.3307774393475757,                 True Negatives: 252622, True Positives: 28214, False Positives: 554560, False Negatives: 13622
Params: {'gamma': 0, 'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 200, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.498998930589621, Recall: 0.4954077577137158,                 F1 Score: 0.28034157830028666, Accuracy: 0.330267438381754,                 True Negatives: 252013, True Positives: 28390, False Positives: 555169, False Negatives: 13446
Params: {'gamma': 0, 'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 500, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.4982334027075135, Recall: 0.4918696308423114,                 F1 Score: 0.28068057011852676, Accuracy: 0.3312968629640361,                 True Negatives: 253247, True Positives: 28030, False Positives: 553935, False Negatives: 13806
Params: {'gamma': 0, 'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 500, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.4983555197458073, Recall: 0.4924329510789542,                 F1 Score: 0.2807381284338644, Accuracy: 0.3313121747713241,                 True Negatives: 253211, True Positives: 28079, False Positives: 553971, False Negatives: 13757
Params: {'gamma': 0, 'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 750, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.4981445644327314, Recall: 0.49145344608020425,                 F1 Score: 0.28087579090079967, Accuracy: 0.33166905766426624,                 True Negatives: 253617, True Positives: 27976, False Positives: 553565, False Negatives: 13860
Params: {'gamma': 0, 'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 750, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.49827747488233326, Recall: 0.49206417211455666,                 F1 Score: 0.281060130991249, Accuracy: 0.33188224513496767,                 True Negatives: 253754, True Positives: 28020, False Positives: 553428, False Negatives: 13816
Params: {'gamma': 0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.5011099625189432, Recall: 0.5049840506229073,                 F1 Score: 0.275590029269542, Accuracy: 0.32145608220320415,                 True Negatives: 243278, True Positives: 29644, False Positives: 563904, False Negatives: 12192
Params: {'gamma': 0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.5016246075669295, Recall: 0.5071651127658772,                 F1 Score: 0.27071678323216, Accuracy: 0.3135799241005491,                 True Negatives: 236033, True Positives: 30202, False Positives: 571149, False Negatives: 11634
Params: {'gamma': 0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 500, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.5006560233059069, Recall: 0.5029780924331412,                 F1 Score: 0.27854758317252015, Accuracy: 0.32639001764391334,                 True Negatives: 247873, True Positives: 29238, False Positives: 559309, False Negatives: 12598
Params: {'gamma': 0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 500, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.5013642639762883, Recall: 0.5061512557621184,                 F1 Score: 0.2770799791890444, Accuracy: 0.3236539154646898,                 True Negatives: 245143, True Positives: 29645, False Positives: 562039, False Negatives: 12191
Params: {'gamma': 0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 750, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.5002509465007754, Recall: 0.5011491423836494,                 F1 Score: 0.280929313765704, Accuracy: 0.3304323347679319,                 True Negatives: 251654, True Positives: 28889, False Positives: 555528, False Negatives: 12947
Params: {'gamma': 0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 750, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.5008789496118162, Recall: 0.5040124874313259,                 F1 Score: 0.2805184385576489, Accuracy: 0.32939113187235136,                 True Negatives: 250469, True Positives: 29190, False Positives: 556713, False Negatives: 12646
Params: {'gamma': 0, 'learning_rate': 0.3, 'max_depth': 8, 'n_estimators': 200, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.4984785218282082, Recall: 0.49300683583300153,                 F1 Score: 0.28048793498107844, Accuracy: 0.33083044175741855,                 True Negatives: 252729, True Positives: 28152, False Positives: 554453, False Negatives: 13684
Params: {'gamma': 0, 'learning_rate': 0.3, 'max_depth': 8, 'n_estimators': 200, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.49858589252072494, Recall: 0.49351003136954397,                 F1 Score: 0.28010744994912345, Accuracy: 0.33014965524876977,                 True Negatives: 252075, True Positives: 28228, False Positives: 555107, False Negatives: 13608
Params: {'gamma': 0, 'learning_rate': 0.3, 'max_depth': 8, 'n_estimators': 500, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.4981744933849783, Recall: 0.4915649518494754,                 F1 Score: 0.28192327503197623, Accuracy: 0.3333462894779616,                 True Negatives: 255109, True Positives: 27908, False Positives: 552073, False Negatives: 13928
Params: {'gamma': 0, 'learning_rate': 0.3, 'max_depth': 8, 'n_estimators': 500, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.4982244020105639, Recall: 0.49181687298870624,                 F1 Score: 0.2811214400341606, Accuracy: 0.33201534007523986,                 True Negatives: 253895, True Positives: 27992, False Positives: 553287, False Negatives: 13844
Params: {'gamma': 0, 'learning_rate': 0.3, 'max_depth': 8, 'n_estimators': 750, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.498107833349703, Recall: 0.4912543610313987,                 F1 Score: 0.28195766232285846, Accuracy: 0.33344522730966836,                 True Negatives: 255225, True Positives: 27876, False Positives: 551957, False Negatives: 13960
Params: {'gamma': 0, 'learning_rate': 0.3, 'max_depth': 8, 'n_estimators': 750, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.4982685101434294, Recall: 0.49200646043698487,                 F1 Score: 0.2817209450328127, Accuracy: 0.33295760513911365,                 True Negatives: 254722, True Positives: 27965, False Positives: 552460, False Negatives: 13871
Params: {'gamma': 0, 'learning_rate': 0.3, 'max_depth': 12, 'n_estimators': 200, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.49815853555763234, Recall: 0.49153200085211024,                 F1 Score: 0.28034700872822566, Accuracy: 0.3308057072994919,                 True Negatives: 252837, True Positives: 28023, False Positives: 554345, False Negatives: 13813
Params: {'gamma': 0, 'learning_rate': 0.3, 'max_depth': 12, 'n_estimators': 200, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.4982166274130455, Recall: 0.4918129283960284,                 F1 Score: 0.27985942508775147, Accuracy: 0.32998240319993216,                 True Negatives: 252075, True Positives: 28086, False Positives: 555107, False Negatives: 13750
Params: {'gamma': 0, 'learning_rate': 0.3, 'max_depth': 12, 'n_estimators': 500, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.4981290435019525, Recall: 0.49138425100236394,                 F1 Score: 0.2807749707634055, Accuracy: 0.33151593959138675,                 True Negatives: 253486, True Positives: 27977, False Positives: 553696, False Negatives: 13859
Params: {'gamma': 0, 'learning_rate': 0.3, 'max_depth': 12, 'n_estimators': 500, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.4981723766087765, Recall: 0.49159664033791284,                 F1 Score: 0.28032180605755697, Accuracy: 0.3307562383836385,                 True Negatives: 252787, True Positives: 28031, False Positives: 554395, False Negatives: 13805
Params: {'gamma': 0, 'learning_rate': 0.3, 'max_depth': 12, 'n_estimators': 750, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.4980588995628171, Recall: 0.4910522367693766,                 F1 Score: 0.2810362820220279, Accuracy: 0.3319835386293341,                 True Negatives: 253934, True Positives: 27926, False Positives: 553248, False Negatives: 13910
Params: {'gamma': 0, 'learning_rate': 0.3, 'max_depth': 12, 'n_estimators': 750, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.498113028949774, Recall: 0.4913278412482571,                 F1 Score: 0.2801153496838528, Accuracy: 0.3304606027198481,                 True Negatives: 252546, True Positives: 28021, False Positives: 554636, False Negatives: 13815
